,movieId,timestamp,zeroEtoile,uneEtoile,deuxEtoile,toisEtoile,quatreEtoile,cingEtoile
1694,84189,2013,,,1.0,1.0,11.0,2.0
1695,84234,2013,,,,2.0,2.0,
1696,84240,2013,,,3.0,,12.0,2.0
1697,84242,2013,,,3.0,4.0,7.0,1.0
1698,84260,2013,1.0,,,,,
1699,84276,2013,,,,,2.0,
1700,84407,2013,,,,,2.0,
1701,84444,2013,,,,,2.0,
1702,84506,2013,,,,,3.0,
1703,84532,2013,,,,,1.0,2.0
1704,84570,2013,,,2.0,1.0,3.0,
1705,84621,2013,1.0,,,1.0,,
1706,84696,2013,,,5.0,6.0,5.0,
1707,84732,2013,,1.0,2.0,1.0,1.0,
1708,84770,2013,,,,,1.0,
1709,84775,2013,1.0,,,1.0,11.0,2.0
1710,84880,2013,1.0,,1.0,,4.0,
1711,84952,2013,,,1.0,4.0,14.0,1.0
1712,84957,2013,,,3.0,1.0,4.0,
1713,84980,2013,,,3.0,6.0,3.0,
1714,85007,2013,,,1.0,2.0,9.0,1.0
1715,85129,2013,,,,,4.0,
1716,85190,2013,,,,1.0,1.0,
1717,85211,2013,,,1.0,1.0,4.0,
1718,85293,2013,,,1.0,,,
1719,85295,2013,3.0,1.0,1.0,,,
1720,85305,2013,,,1.0,,1.0,
1721,85342,2013,1.0,1.0,4.0,14.0,58.0,12.0
1722,85365,2013,,,,,1.0,
1723,85372,2013,,,1.0,1.0,3.0,
1724,85394,2013,,,5.0,6.0,17.0,
1725,85401,2013,1.0,,12.0,9.0,25.0,2.0
1726,85412,2013,,,11.0,9.0,30.0,3.0
1727,85540,2013,,,,2.0,1.0,
1728,85567,2013,,,,,1.0,1.0
1729,85763,2013,,,,,4.0,
1730,85774,2013,3.0,,7.0,7.0,98.0,16.0
1731,85780,2013,1.0,,,2.0,7.0,3.0
1732,85788,2013,,1.0,15.0,18.0,42.0,9.0
1733,85790,2013,,1.0,2.0,4.0,4.0,
1734,85885,2013,,,3.0,2.0,5.0,
1735,86000,2013,,,3.0,3.0,23.0,
1736,86028,2013,,1.0,1.0,1.0,1.0,
1737,86096,2013,,,,,1.0,1.0
1738,86137,2013,,,,,1.0,
1739,86142,2013,1.0,1.0,2.0,5.0,37.0,3.0
1740,86145,2013,,,1.0,,,
1741,86233,2013,,,,1.0,3.0,
1742,86244,2013,,,2.0,2.0,3.0,
1743,86277,2013,,,,1.0,1.0,
1744,86279,2013,,,1.0,1.0,5.0,1.0
1745,86300,2013,,,,,1.0,
1746,86345,2013,11.0,4.0,10.0,10.0,126.0,76.0
1747,86432,2013,,,,,3.0,
1748,86546,2013,,,3.0,,1.0,2.0
1749,86576,2013,,,,,1.0,
1750,86578,2013,,,,,3.0,2.0
1751,86606,2013,,,1.0,1.0,,
1752,86626,2013,,,2.0,,,
1753,86642,2013,,,2.0,1.0,,
1754,86723,2013,1.0,,,4.0,7.0,3.0
1755,86725,2013,,,,,1.0,
1756,86750,2013,,,,,3.0,1.0
1757,86762,2013,,,,,,1.0
1758,86775,2013,,,,,3.0,
1759,86781,2013,1.0,3.0,5.0,4.0,61.0,11.0
1760,86807,2013,,,1.0,,,
1761,86892,2013,,,3.0,4.0,25.0,2.0
1762,86922,2013,,,,,2.0,
1763,86957,2013,,,1.0,2.0,,
1764,86985,2013,,,,,1.0,
1765,87079,2013,,1.0,1.0,1.0,6.0,
1766,87100,2013,,,1.0,,6.0,
1767,87105,2013,1.0,,1.0,1.0,,
1768,87194,2013,,,2.0,2.0,24.0,3.0
1769,87197,2013,,,1.0,1.0,1.0,
1770,87234,2013,2.0,,9.0,7.0,53.0,11.0
1771,87279,2013,,,1.0,,,
1772,87287,2013,,,,,2.0,
1773,87298,2013,,,6.0,10.0,21.0,1.0
1774,87302,2013,,,1.0,,1.0,1.0
1775,87304,2013,1.0,,5.0,11.0,40.0,7.0
1776,87314,2013,,,1.0,,1.0,
1777,87332,2013,,,,,,1.0
1778,87405,2013,1.0,,2.0,2.0,9.0,1.0
1779,87410,2013,,,,1.0,,
1780,87444,2013,,,2.0,,,
1781,87499,2013,,,1.0,,,1.0
1782,87527,2013,,,1.0,,,
1783,87549,2013,,,2.0,1.0,,
1784,87589,2013,,,1.0,1.0,,
1785,87785,2013,,,4.0,5.0,1.0,
1786,87792,2013,,,1.0,1.0,1.0,
1787,87921,2013,,,3.0,5.0,,
1788,87964,2013,,,1.0,,,
1789,87971,2013,,,,,1.0,
1790,87990,2013,,,1.0,1.0,1.0,
1791,87992,2013,,,,,1.0,
1792,88094,2013,,,,1.0,1.0,
1793,88118,2013,,,,1.0,4.0,
1794,88131,2013,,,2.0,1.0,,
1795,88270,2013,,,,,1.0,
1796,88339,2013,,,,1.0,2.0,1.0
1797,88343,2013,,,,1.0,,
1798,88380,2013,1.0,1.0,3.0,1.0,,
1799,88468,2013,,,1.0,1.0,1.0,1.0
1800,88495,2013,,,,2.0,2.0,
1801,88564,2013,,1.0,,,1.0,
1802,88566,2013,,,1.0,,2.0,2.0
1803,88572,2013,1.0,,,,,
1804,88593,2013,,,2.0,2.0,5.0,1.0
1805,88599,2013,,,,1.0,1.0,
1806,88699,2013,,1.0,3.0,3.0,6.0,1.0
1807,88734,2013,,,,,1.0,
1808,88877,2013,,,1.0,,1.0,
1809,88911,2013,,,,2.0,13.0,3.0
1810,88950,2013,,,3.0,3.0,6.0,
1811,88977,2013,,,,2.0,5.0,
1812,89000,2013,,,,,5.0,1.0
1813,89028,2013,,,4.0,,3.0,
1814,89047,2013,,,6.0,7.0,22.0,2.0
1815,89072,2013,,,6.0,2.0,12.0,1.0
1816,89102,2013,,1.0,2.0,4.0,4.0,
1817,89137,2013,,,1.0,,1.0,
1818,89192,2013,,1.0,,1.0,,
1819,89217,2013,,,1.0,1.0,2.0,1.0
1820,89281,2013,4.0,,2.0,,2.0,1.0
1821,89327,2013,,,,,1.0,
1822,89377,2013,,,2.0,1.0,2.0,
1823,89501,2013,,,,,1.0,
1824,89523,2013,,,,,3.0,1.0
1825,89580,2013,,,,,5.0,
1826,89582,2013,,,2.0,,4.0,
1827,89584,2013,,,1.0,,3.0,1.0
1828,89629,2013,,1.0,2.0,1.0,3.0,1.0
1829,89780,2013,,1.0,4.0,5.0,24.0,4.0
1830,89848,2013,,,1.0,,,
1831,89877,2013,,,2.0,,,
1832,89983,2013,,,,2.0,1.0,
1833,90061,2013,,,2.0,1.0,,
1834,90090,2013,,,,1.0,,1.0
1835,90133,2013,1.0,,2.0,,,
1836,90310,2013,,,2.0,,2.0,
1837,90350,2013,,,1.0,1.0,3.0,1.0
1838,90353,2013,,,1.0,1.0,,
1839,90378,2013,,,1.0,1.0,5.0,
1840,90413,2013,,,,1.0,4.0,
1841,90421,2013,,,2.0,2.0,,
1842,90478,2013,,,,1.0,,
1843,90561,2013,,,1.0,,,
1844,90564,2013,,,,1.0,1.0,
1845,90649,2013,1.0,,1.0,1.0,5.0,1.0
1846,90899,2013,,,,3.0,2.0,
1847,91044,2013,,,,,1.0,
1848,91046,2013,,1.0,,,,
1849,91048,2013,,,,,3.0,
1850,91216,2013,,,,,1.0,
1851,91243,2013,,,1.0,,,
1852,91273,2013,,,,3.0,4.0,
1853,91290,2013,,1.0,1.0,,5.0,1.0
1854,91302,2013,,,1.0,,2.0,
1855,91490,2013,,,1.0,,1.0,
1856,91505,2013,,,1.0,1.0,3.0,
1857,91681,2013,,,1.0,2.0,4.0,1.0
1858,91793,2013,,,,,1.0,
1859,91823,2013,1.0,,1.0,1.0,3.0,
1860,91888,2013,,1.0,3.0,,6.0,1.0
1861,91906,2013,,,,,1.0,
1862,91929,2013,,,1.0,,3.0,
1863,91933,2013,,,,,1.0,
1864,91983,2013,,,2.0,1.0,,
1865,92006,2013,,,,,1.0,
1866,92048,2013,,,4.0,4.0,6.0,1.0
1867,92096,2013,,,1.0,1.0,,
1868,92180,2013,,1.0,,,,
1869,92210,2013,,,2.0,1.0,3.0,2.0
1870,92357,2013,,,,1.0,2.0,
1871,92371,2013,,,1.0,,,
1872,92393,2013,,,2.0,3.0,4.0,
1873,92437,2013,,,1.0,,1.0,
1874,92481,2013,,1.0,,2.0,1.0,1.0
1875,92652,2013,,,,,1.0,
1876,92674,2013,,,,,1.0,
1877,92696,2013,,,1.0,,2.0,
1878,92829,2013,,,1.0,,1.0,
1879,92923,2013,,,2.0,3.0,1.0,
1880,93008,2013,,,,,,1.0
1881,93022,2013,,,,,,1.0
1882,93134,2013,,,,,6.0,
1883,93139,2013,1.0,,,1.0,,
1884,93193,2013,,,3.0,1.0,1.0,
1885,93212,2013,,1.0,1.0,1.0,12.0,
1886,93376,2013,1.0,,1.0,,,
1887,93467,2013,,,,,2.0,2.0
1888,93479,2013,,,,2.0,1.0,1.0
1889,93481,2013,,,,1.0,1.0,
1890,93570,2013,,,,1.0,4.0,1.0
1891,93610,2013,,1.0,2.0,3.0,,
1892,93750,2013,,,1.0,,3.0,1.0
1893,93782,2013,,,,,1.0,
1894,93834,2013,,,,,1.0,
1895,93859,2013,,,1.0,,,
1896,93892,2013,,,1.0,1.0,7.0,2.0
1897,93952,2013,,,2.0,1.0,4.0,
1898,94022,2013,,,1.0,,1.0,
1899,94074,2013,,,,,6.0,
1900,94112,2013,,,1.0,,2.0,
1901,94160,2013,,,,2.0,4.0,
1902,94491,2013,,1.0,,,,1.0
1903,94539,2013,,,1.0,1.0,,
1904,94558,2013,1.0,,5.0,4.0,5.0,
1905,94672,2013,,,,1.0,,
1906,94675,2013,1.0,,,,,
1907,94893,2013,,,,1.0,1.0,
1908,94919,2013,,,1.0,1.0,1.0,
1909,94939,2013,,,1.0,2.0,11.0,1.0
1910,95000,2013,,,,2.0,,
1911,95002,2013,,,1.0,,2.0,
1912,95026,2013,,,,,1.0,
1913,95157,2013,,,1.0,,1.0,
1914,95223,2013,,,,3.0,,
1915,95491,2013,,,,1.0,3.0,
1916,95732,2013,,,,,2.0,
1917,95748,2013,,,,,1.0,
1918,95814,2013,,,1.0,,,
1919,95941,2013,,,,,1.0,
1920,95982,2013,,,,,1.0,
1921,96071,2013,,,,1.0,,
1922,96195,2013,,,1.0,1.0,2.0,
1923,96298,2013,,,1.0,,,
1924,96501,2013,,,1.0,3.0,7.0,1.0
1925,96840,2013,,,,,1.0,
1926,97216,2013,,1.0,1.0,,,
1927,97220,2013,,,2.0,,,
1928,97382,2013,,,2.0,,,
1929,97595,2013,,,,,2.0,
1930,97597,2013,,1.0,1.0,,4.0,
1931,98059,2013,,,,,2.0,
1932,98167,2013,,,,,1.0,
1933,98294,2013,,,1.0,,,
1934,98378,2013,,,1.0,1.0,1.0,1.0
1935,98402,2013,,,1.0,1.0,,
1936,98445,2013,,,,,4.0,1.0
1937,98556,2013,,,1.0,,,
1938,98621,2013,,1.0,,,1.0,
1939,98626,2013,,,,1.0,,
1940,98908,2013,,,1.0,,,
1941,99045,2013,1.0,,,,,3.0
1942,99214,2013,,,,1.0,4.0,1.0
1943,99347,2013,,,1.0,,,
1944,99355,2013,,,1.0,,1.0,
1945,99371,2013,,1.0,1.0,1.0,,2.0
1946,99387,2013,,,1.0,1.0,2.0,1.0
1947,99439,2013,,,,1.0,,
1948,99446,2013,,,,1.0,,
1949,99448,2013,,,1.0,1.0,,
1950,99519,2013,,,1.0,,,
1951,99572,2013,,,,,1.0,
1952,99615,2013,,,2.0,1.0,,
1953,99754,2013,,,,2.0,,
1954,99760,2013,,,,,2.0,
1955,99766,2013,,,1.0,5.0,7.0,
1956,99790,2013,,,,,1.0,
1957,99800,2013,,,1.0,1.0,,
1958,99871,2013,,,,7.0,2.0,1.0
1959,100056,2013,,1.0,1.0,,,
1960,100075,2013,,,,1.0,,
1961,100101,2013,,,,,1.0,
1962,100141,2013,,,,,2.0,
1963,100155,2013,,,1.0,,,
1964,100167,2013,,,1.0,,2.0,
1965,100169,2013,,,1.0,2.0,7.0,
1966,100173,2013,,,1.0,,1.0,
1967,100180,2013,,,2.0,,,
1968,100198,2013,,,1.0,,,
1969,100238,2013,1.0,,1.0,6.0,4.0,
1970,100253,2013,,,,2.0,,
1971,100298,2013,,,1.0,,,
1972,100310,2013,,1.0,,,,
1973,100336,2013,,,,,4.0,
1974,100361,2013,,,1.0,1.0,,
1975,100426,2013,,,1.0,1.0,5.0,
1976,100457,2013,,,2.0,1.0,,
1977,100496,2013,,,,,1.0,
1978,100653,2013,,,,,1.0,
1979,100884,2013,,,,,1.0,
1980,101068,2013,,,,,1.0,
1981,101072,2013,,,2.0,,2.0,
1982,101156,2013,,,1.0,,,
1983,101158,2013,,,,,1.0,
1984,101160,2013,,,,,1.0,
1985,101210,2013,,,,3.0,5.0,
1986,101258,2013,1.0,,1.0,,1.0,
1987,101260,2013,1.0,,1.0,2.0,1.0,
1988,101352,2013,,,,1.0,1.0,
1989,101583,2013,,,1.0,1.0,,
1990,101614,2013,,,1.0,1.0,2.0,
1991,101767,2013,,,,,1.0,1.0
1992,101846,2013,,,,,1.0,
1993,101857,2013,,,,1.0,2.0,
1994,101918,2013,,,,1.0,3.0,1.0
1995,101971,2013,,,,1.0,5.0,1.0
1996,101984,2013,,,,,4.0,
1997,102060,2013,,,1.0,3.0,11.0,
1998,102224,2013,,,,1.0,,
1999,102275,2013,1.0,,,,1.0,
2000,102332,2013,,,1.0,,,
2001,102596,2013,,,,,1.0,
2002,102828,2013,,,3.0,,,
2003,102953,2013,,,,,3.0,
2004,103022,2013,,,,,1.0,1.0
2005,103036,2013,,,,,1.0,
2006,103089,2013,,,,,1.0,
2007,103164,2013,,,1.0,,,
2008,103166,2013,,,,2.0,,1.0
2009,103382,2013,,,2.0,,,
2010,103388,2013,,,,2.0,1.0,
2011,103418,2013,,,,1.0,,
2012,103489,2013,,1.0,,,,
2013,103534,2013,,,,,2.0,
2014,103551,2013,,,,,1.0,
2015,103557,2013,,,,,1.0,
2016,103657,2013,,,4.0,,,
2017,103676,2013,,,1.0,,1.0,
2018,103784,2013,,,,,2.0,1.0
2019,103861,2013,,,,,1.0,
2020,103877,2013,,,,2.0,,
2021,104215,2013,,,1.0,,,
2022,104319,2013,,,,,1.0,
2023,104370,2013,,,,1.0,,
2024,104388,2013,1.0,,2.0,,,
2025,104419,2013,,,2.0,5.0,10.0,2.0
2026,104464,2013,,,,,1.0,
2027,104638,2013,,,2.0,,,
2028,104807,2013,,,1.0,,,
2029,105204,2013,,,,1.0,1.0,
2030,105269,2013,,,,2.0,2.0,
2031,105296,2013,,,,,1.0,
2032,105439,2013,,,,,1.0,
2033,105474,2013,,,,,1.0,
2034,105560,2013,,,1.0,1.0,,
2035,105715,2013,,,,2.0,,
2036,105765,2013,,,,1.0,,
2037,105815,2013,,,1.0,2.0,,
2038,105972,2013,,,,1.0,,
2039,105985,2013,,,,,1.0,
2040,106017,2013,,,,,1.0,
2041,106115,2013,,,,,,1.0
2042,106136,2013,,1.0,,,,
2043,106214,2013,,,,,1.0,
2044,106228,2013,,,,1.0,,
2045,106254,2013,,,1.0,3.0,,
2046,106391,2013,,,1.0,,,
2047,106475,2013,,,,,1.0,
2048,106519,2013,,,,,1.0,
2049,106592,2013,,,,2.0,,
2050,106646,2013,,,2.0,,3.0,
2051,106684,2013,,1.0,,,1.0,
2052,106686,2013,,,,,1.0,
2053,106762,2013,,,,2.0,1.0,
2054,107096,2013,,,1.0,,,
2055,107143,2013,,,1.0,1.0,,
2056,107172,2013,,1.0,,,,
2057,107204,2013,,,,,1.0,
2058,107573,2013,,,1.0,,,
2059,107575,2013,,,,,1.0,
2060,107577,2013,,,,,1.0,
2061,107630,2013,,,1.0,,1.0,
2062,107653,2013,,,,,1.0,
2063,73268,2014,,,10.0,19.0,22.0,2.0
2064,73319,2014,1.0,2.0,7.0,11.0,16.0,1.0
2065,73321,2014,3.0,4.0,33.0,32.0,104.0,14.0
2066,73929,2014,1.0,3.0,6.0,6.0,7.0,
2067,74115,2014,,,,2.0,,
2068,74131,2014,,,,1.0,1.0,
2069,74154,2014,,2.0,6.0,3.0,11.0,1.0
2070,74156,2014,,,1.0,7.0,14.0,
2071,74324,2014,3.0,,1.0,5.0,49.0,11.0
2072,74450,2014,1.0,2.0,9.0,11.0,17.0,2.0
2073,74452,2014,1.0,4.0,6.0,5.0,3.0,
2074,74458,2014,5.0,6.0,51.0,83.0,553.0,148.0
2075,74530,2014,,2.0,20.0,11.0,23.0,3.0
2076,74532,2014,3.0,2.0,15.0,4.0,4.0,
2077,74545,2014,,1.0,5.0,13.0,47.0,4.0
2078,74580,2014,,,4.0,2.0,3.0,
2079,74675,2014,,,1.0,,,
2080,74685,2014,2.0,1.0,12.0,15.0,13.0,1.0
2081,74688,2014,,,5.0,3.0,6.0,1.0
2082,74698,2014,5.0,1.0,9.0,2.0,3.0,
2083,74787,2014,,,4.0,1.0,5.0,
2084,74789,2014,9.0,6.0,45.0,52.0,87.0,7.0
2085,74795,2014,1.0,,6.0,7.0,28.0,
2086,74851,2014,1.0,1.0,8.0,5.0,17.0,
2087,74916,2014,2.0,,5.0,4.0,5.0,
2088,74944,2014,,1.0,,2.0,5.0,
2089,74946,2014,1.0,1.0,4.0,11.0,23.0,2.0
2090,75341,2014,,,7.0,5.0,12.0,2.0
2091,75395,2014,,,5.0,2.0,7.0,
2092,75438,2014,,,,1.0,,
2093,75805,2014,1.0,,14.0,6.0,16.0,2.0
2094,75985,2014,1.0,,9.0,12.0,19.0,1.0
2095,76077,2014,1.0,2.0,13.0,19.0,38.0,3.0
2096,76093,2014,8.0,9.0,45.0,86.0,519.0,155.0
2097,76175,2014,2.0,7.0,38.0,8.0,22.0,3.0
2098,76217,2014,,,,,1.0,
2099,76251,2014,13.0,10.0,71.0,73.0,350.0,50.0
2100,76293,2014,2.0,1.0,15.0,9.0,33.0,4.0
2101,76738,2014,1.0,,,,6.0,
2102,76753,2014,,,2.0,,1.0,1.0
2103,76755,2014,,,2.0,2.0,3.0,
2104,76763,2014,,,1.0,2.0,5.0,1.0
2105,77191,2014,1.0,,2.0,2.0,4.0,
2106,77206,2014,,,1.0,3.0,6.0,
2107,77300,2014,,,,1.0,,
2108,77349,2014,,,,1.0,,
2109,77364,2014,,,4.0,6.0,9.0,
2110,77414,2014,,,2.0,2.0,12.0,1.0
2111,77421,2014,1.0,,1.0,4.0,5.0,
2112,77455,2014,6.0,1.0,18.0,19.0,133.0,25.0
2113,77561,2014,3.0,8.0,65.0,93.0,283.0,59.0
2114,77629,2014,,,,,3.0,
2115,77665,2014,,1.0,,,1.0,
2116,77667,2014,2.0,4.0,7.0,1.0,3.0,2.0
2117,77672,2014,,,1.0,1.0,,
2118,77798,2014,3.0,,4.0,6.0,6.0,
2119,77800,2014,1.0,1.0,8.0,6.0,48.0,4.0
2120,77818,2014,,,1.0,,,
2121,77820,2014,1.0,,,,,
2122,77833,2014,,,1.0,,,1.0
2123,77837,2014,,,1.0,2.0,5.0,1.0
2124,77866,2014,1.0,1.0,21.0,9.0,28.0,5.0
2125,78022,2014,,,,1.0,,
2126,78034,2014,,,,1.0,5.0,
2127,78039,2014,2.0,1.0,13.0,20.0,82.0,16.0
2128,78041,2014,,,11.0,6.0,3.0,2.0
2129,78088,2014,,2.0,4.0,5.0,19.0,
2130,78105,2014,1.0,1.0,22.0,25.0,38.0,7.0
2131,78116,2014,,,1.0,1.0,3.0,
2132,78128,2014,,,1.0,1.0,,
2133,78174,2014,9.0,1.0,3.0,3.0,5.0,
2134,78209,2014,3.0,2.0,12.0,13.0,31.0,
2135,78218,2014,,1.0,2.0,1.0,16.0,
2136,78247,2014,,,2.0,2.0,,
2137,78251,2014,,,,,1.0,
2138,78264,2014,,2.0,7.0,4.0,6.0,
2139,78316,2014,,1.0,6.0,6.0,11.0,4.0
2140,78321,2014,2.0,2.0,1.0,,2.0,
2141,78410,2014,,,1.0,,,
2142,78467,2014,,3.0,12.0,3.0,1.0,
2143,78469,2014,3.0,,18.0,22.0,35.0,13.0
2144,78499,2014,6.0,7.0,56.0,87.0,464.0,163.0
2145,78517,2014,,,,3.0,3.0,
2146,78574,2014,,,12.0,23.0,96.0,15.0
2147,78633,2014,,,1.0,2.0,3.0,
2148,78637,2014,3.0,1.0,10.0,27.0,43.0,3.0
2149,78679,2014,,1.0,3.0,3.0,1.0,
2150,78759,2014,,,1.0,,1.0,
2151,78772,2014,17.0,8.0,32.0,13.0,18.0,5.0
2152,78893,2014,12.0,5.0,19.0,10.0,15.0,1.0
2153,79057,2014,1.0,1.0,19.0,24.0,25.0,5.0
2154,79091,2014,,2.0,41.0,70.0,340.0,84.0
2155,79132,2014,13.0,10.0,121.0,161.0,1367.0,555.0
2156,79134,2014,6.0,3.0,12.0,10.0,18.0,3.0
2157,79139,2014,4.0,1.0,11.0,11.0,26.0,2.0
2158,79185,2014,2.0,1.0,14.0,22.0,33.0,5.0
2159,79224,2014,1.0,,11.0,14.0,22.0,1.0
2160,79242,2014,1.0,,2.0,6.0,28.0,3.0
2161,79251,2014,2.0,,5.0,2.0,6.0,1.0
2162,79274,2014,1.0,,3.0,1.0,22.0,7.0
2163,79293,2014,4.0,2.0,25.0,28.0,63.0,10.0
2164,79428,2014,,4.0,6.0,9.0,16.0,3.0
2165,79463,2014,,,1.0,4.0,3.0,1.0
2166,79515,2014,,,,1.0,,
2167,79553,2014,1.0,,4.0,7.0,37.0,10.0
2168,79570,2014,,,,1.0,,
2169,79572,2014,,,1.0,1.0,1.0,
2170,79588,2014,,,1.0,1.0,5.0,
2171,79592,2014,1.0,2.0,12.0,15.0,48.0,6.0
2172,79599,2014,,,,1.0,,
2173,79677,2014,,,,,3.0,
2174,79695,2014,6.0,8.0,33.0,39.0,46.0,9.0
2175,79702,2014,6.0,8.0,47.0,49.0,298.0,56.0
2176,79720,2014,,,5.0,6.0,16.0,3.0
2177,79769,2014,,,,,2.0,
2178,79796,2014,,,7.0,8.0,15.0,2.0
2179,79824,2014,,,3.0,,1.0,
2180,79860,2014,,1.0,,2.0,6.0,
2181,79879,2014,2.0,2.0,9.0,3.0,7.0,2.0
2182,79895,2014,1.0,,,1.0,2.0,1.0
2183,79974,2014,1.0,,,,,
2184,79987,2014,,1.0,,1.0,3.0,
2185,80026,2014,1.0,,3.0,2.0,1.0,
2186,80094,2014,,,3.0,5.0,5.0,
2187,80126,2014,1.0,1.0,8.0,6.0,19.0,2.0
2188,80137,2014,1.0,,,,,
2189,80166,2014,1.0,,14.0,8.0,20.0,1.0
2190,80185,2014,1.0,,2.0,3.0,14.0,1.0
2191,80204,2014,1.0,,,,,
2192,80219,2014,1.0,2.0,23.0,16.0,61.0,3.0
2193,80222,2014,1.0,1.0,5.0,3.0,8.0,
2194,80241,2014,,,5.0,,6.0,1.0
2195,80324,2014,,,,1.0,,
2196,80350,2014,7.0,3.0,3.0,3.0,1.0,
2197,80363,2014,3.0,2.0,9.0,16.0,31.0,4.0
2198,80398,2014,,,4.0,3.0,3.0,
2199,80454,2014,,,2.0,2.0,2.0,
2200,80463,2014,11.0,3.0,53.0,105.0,437.0,82.0
2201,80469,2014,1.0,1.0,2.0,2.0,10.0,1.0
2202,80489,2014,1.0,2.0,9.0,26.0,191.0,19.0
2203,80549,2014,3.0,1.0,23.0,33.0,141.0,21.0
2204,80551,2014,2.0,,10.0,1.0,12.0,1.0
2205,80553,2014,,1.0,1.0,,6.0,
2206,80572,2014,,,1.0,1.0,1.0,
2207,80586,2014,,,,6.0,23.0,4.0
2208,80588,2014,1.0,,1.0,,3.0,
2209,80590,2014,1.0,3.0,13.0,7.0,14.0,1.0
2210,80615,2014,2.0,1.0,6.0,11.0,18.0,4.0
2211,80617,2014,1.0,1.0,5.0,1.0,1.0,
2212,80693,2014,1.0,,4.0,14.0,44.0,5.0
2213,80775,2014,,,1.0,,1.0,
2214,80779,2014,,,1.0,,,
2215,80820,2014,,,3.0,,1.0,
2216,80831,2014,1.0,,6.0,13.0,40.0,2.0
2217,80834,2014,,,1.0,,5.0,
2218,80839,2014,1.0,,1.0,1.0,20.0,3.0
2219,80846,2014,2.0,2.0,11.0,9.0,17.0,1.0
2220,80858,2014,,,2.0,1.0,4.0,1.0
2221,80860,2014,,,4.0,7.0,20.0,4.0
2222,80862,2014,,,4.0,9.0,12.0,2.0
2223,80864,2014,,,1.0,3.0,7.0,
2224,80880,2014,,,5.0,2.0,,
2225,80906,2014,2.0,1.0,11.0,22.0,135.0,35.0
2226,80917,2014,,1.0,7.0,8.0,21.0,
2227,80928,2014,1.0,,,,2.0,
2228,80939,2014,,,1.0,1.0,3.0,
2229,80941,2014,1.0,,1.0,2.0,2.0,
2230,80969,2014,1.0,2.0,8.0,17.0,60.0,8.0
2231,81018,2014,,,3.0,3.0,26.0,8.0
2232,81083,2014,,1.0,3.0,1.0,1.0,
2233,81111,2014,,,,1.0,1.0,
2234,81132,2014,,,3.0,6.0,13.0,1.0
2235,81138,2014,,,,,1.0,
2236,81140,2014,,,2.0,,4.0,
2237,81156,2014,2.0,,10.0,4.0,10.0,2.0
2238,81158,2014,1.0,,5.0,7.0,26.0,5.0
2239,81162,2014,1.0,,,,,
2240,81180,2014,,1.0,5.0,1.0,3.0,
2241,81182,2014,,,,,3.0,
2242,81191,2014,1.0,,4.0,1.0,13.0,5.0
2243,81229,2014,2.0,,19.0,32.0,130.0,22.0
2244,81257,2014,1.0,,4.0,,24.0,2.0
2245,81270,2014,1.0,1.0,,1.0,1.0,
2246,81383,2014,,,1.0,4.0,12.0,
2247,81385,2014,,1.0,,1.0,4.0,
2248,81417,2014,2.0,,8.0,10.0,7.0,2.0
2249,81424,2014,,,1.0,,1.0,
2250,81427,2014,,,1.0,,,
2251,81451,2014,,1.0,,,,
2252,81456,2014,1.0,,1.0,,9.0,2.0
2253,81512,2014,,4.0,6.0,8.0,5.0,1.0
2254,81516,2014,1.0,1.0,2.0,2.0,5.0,
2255,81520,2014,,,,,2.0,1.0
2256,81535,2014,5.0,3.0,7.0,4.0,6.0,4.0
2257,81537,2014,3.0,2.0,13.0,14.0,26.0,4.0
2258,81562,2014,2.0,3.0,20.0,32.0,185.0,22.0
2259,81564,2014,1.0,1.0,24.0,44.0,176.0,21.0
2260,81591,2014,6.0,10.0,73.0,76.0,481.0,97.0
2261,81637,2014,,,,1.0,,
2262,81639,2014,,,,2.0,3.0,1.0
2263,81641,2014,,,1.0,5.0,9.0,
2264,81711,2014,1.0,,,2.0,1.0,1.0
2265,81725,2014,,,,,2.0,
2266,81731,2014,,,,,8.0,3.0
2267,81744,2014,,1.0,,,,
2268,81751,2014,,1.0,1.0,1.0,7.0,
2269,81782,2014,1.0,,5.0,13.0,27.0,2.0
2270,81784,2014,,,6.0,9.0,13.0,
2271,81786,2014,,,1.0,,5.0,1.0
2272,81788,2014,1.0,,8.0,13.0,51.0,5.0
2273,81791,2014,,3.0,8.0,3.0,7.0,
2274,81804,2014,,,4.0,1.0,6.0,1.0
2275,81817,2014,,,,1.0,6.0,1.0
2276,81819,2014,2.0,1.0,3.0,,18.0,2.0
2277,81831,2014,,,1.0,,3.0,
2278,81834,2014,5.0,6.0,47.0,79.0,343.0,126.0
2279,81845,2014,4.0,8.0,49.0,94.0,657.0,144.0
2280,81847,2014,6.0,3.0,25.0,60.0,297.0,76.0
2281,81932,2014,2.0,1.0,12.0,36.0,161.0,27.0
2282,81949,2014,,,3.0,,2.0,
2283,82009,2014,,,1.0,1.0,,
2284,82011,2014,1.0,,,,,
2285,82022,2014,,,,1.0,,
2286,82037,2014,,,1.0,1.0,3.0,
2287,82053,2014,,,,4.0,4.0,
2288,82088,2014,,,,1.0,1.0,
2289,82093,2014,,,3.0,4.0,4.0,
2290,82095,2014,3.0,3.0,15.0,8.0,9.0,1.0
2291,82097,2014,,,,,,1.0
2292,82102,2014,,,1.0,,1.0,
2293,82115,2014,,,1.0,,,
